,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
14877,172.16.1.196,172.16.1.52,631.0,1612984933.0,100.0,1,1.0,0.26182572614107885
14850,172.16.1.52,172.16.1.196,850.0,1612984921.0,100.0,1,1.0,0.35269709543568467
14849,172.16.1.196,172.16.1.52,850.0,1612984921.0,100.0,1,1.0,0.35269709543568467
14840,172.16.1.52,172.16.1.196,663.0,1612984920.0,100.0,1,1.0,0.27510373443983405
14838,172.16.1.196,172.16.1.52,663.0,1612984920.0,100.0,1,1.0,0.27510373443983405
14815,172.16.1.52,172.16.1.196,618.0,1612984908.0,100.0,1,1.0,0.2564315352697095
14814,172.16.1.196,172.16.1.52,618.0,1612984908.0,100.0,1,1.0,0.2564315352697095
14794,172.16.1.52,172.16.1.196,845.0,1612984904.0,100.0,1,1.0,0.3506224066390041
14786,172.16.1.196,172.16.1.52,845.0,1612984904.0,100.0,1,1.0,0.3506224066390041
14741,172.16.1.52,172.16.1.196,665.0,1612984896.0,100.0,1,1.0,0.27593360995850624
14736,172.16.1.196,172.16.1.52,665.0,1612984896.0,100.0,1,1.0,0.27593360995850624
14726,172.16.1.52,172.16.1.196,695.0,1612984893.0,100.0,1,1.0,0.2883817427385892
14724,172.16.1.196,172.16.1.52,695.0,1612984893.0,100.0,1,1.0,0.2883817427385892
14685,172.16.1.52,172.16.1.196,905.0,1612984881.0,100.0,1,1.0,0.3755186721991701
14903,172.16.1.196,172.16.1.52,688.0,1612984937.0,100.0,1,1.0,0.2854771784232365
14904,172.16.1.52,172.16.1.196,688.0,1612984937.0,100.0,1,1.0,0.2854771784232365
14933,172.16.1.196,172.16.1.52,614.0,1612984945.0,100.0,1,1.0,0.25477178423236513
15044,172.16.1.52,172.16.1.196,689.0,1612984969.0,100.0,1,1.0,0.2858921161825726
15117,172.16.1.52,172.16.1.196,1320.0,1612984989.0,100.0,1,1.0,0.5477178423236515
15116,172.16.1.196,172.16.1.52,1320.0,1612984989.0,100.0,1,1.0,0.5477178423236515
15091,172.16.1.52,172.16.1.196,447.0,1612984980.0,100.0,1,1.0,0.18547717842323652
15090,172.16.1.196,172.16.1.52,447.0,1612984980.0,100.0,1,1.0,0.18547717842323652
15085,172.16.1.52,172.16.1.196,672.0,1612984976.0,100.0,1,1.0,0.27883817427385893
