,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised
219,89.248.160.139,172.16.1.96,1.0,2021-02-10 18:12:43,0.0,0,3.0567502356567114e-263
220,10.3.252.99,172.16.1.196,50.0,2021-02-10 18:12:44,100.0,0,2.861942198975361e-198
221,172.16.1.196,10.3.252.99,50.0,2021-02-10 18:12:44,100.0,0,2.861942198975361e-198
222,172.16.1.196,172.16.1.96,2.0,2021-02-10 18:12:44,100.0,0,1.1618247333171717e-235
223,172.16.1.96,172.16.1.196,2.0,2021-02-10 18:12:44,100.0,0,1.1618247333171717e-235
224,172.16.1.162,172.16.1.168,3.0,2021-02-10 18:12:46,100.0,0,6.984424428757537e-235
225,172.16.1.168,172.16.1.162,3.0,2021-02-10 18:12:46,100.0,0,6.984424428757537e-235
226,172.16.1.173,172.16.1.198,1.0,2021-02-10 18:12:47,100.0,0,1.9326384367332043e-236
227,172.16.1.198,172.16.1.173,1.0,2021-02-10 18:12:47,100.0,0,1.9326384367332043e-236
228,172.16.1.250,172.16.1.36,1.0,2021-02-10 18:12:48,100.0,0,1.9326384367332043e-236
229,172.16.1.36,172.16.1.250,1.0,2021-02-10 18:12:48,100.0,0,1.9326384367332043e-236
230,172.16.1.36,52.44.104.29,1.0,2021-02-10 18:12:48,100.0,0,1.9326384367332043e-236
231,23.95.222.129,172.16.1.36,1.0,2021-02-10 18:12:48,0.0,0,3.0567502356567114e-263
232,52.44.104.29,172.16.1.36,1.0,2021-02-10 18:12:48,100.0,0,1.9326384367332043e-236
233,172.16.1.140,172.16.1.178,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
234,172.16.1.148,172.16.1.187,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
235,172.16.1.173,172.16.1.214,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
236,172.16.1.178,172.16.1.140,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
237,172.16.1.187,172.16.1.148,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
238,172.16.1.214,172.16.1.173,1.0,2021-02-10 18:12:49,100.0,0,1.9326384367332043e-236
239,172.16.1.196,172.16.1.52,1.0,2021-02-10 18:12:50,100.0,0,1.9326384367332043e-236
240,172.16.1.52,172.16.1.196,1.0,2021-02-10 18:12:50,100.0,0,1.9326384367332043e-236
241,172.16.1.52,52.247.201.54,1.0,2021-02-10 18:12:50,100.0,0,1.9326384367332043e-236
242,194.147.140.67,172.16.1.52,1.0,2021-02-10 18:12:50,0.0,0,3.0567502356567114e-263
243,220.163.125.148,172.16.1.52,1.0,2021-02-10 18:12:50,0.0,0,3.0567502356567114e-263
244,52.247.201.54,172.16.1.52,1.0,2021-02-10 18:12:50,100.0,0,1.9326384367332043e-236
245,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:52,100.0,0,1.9326384367332043e-236
246,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:52,100.0,0,1.9326384367332043e-236
247,172.16.1.252,172.16.1.10,1.0,2021-02-10 18:12:52,100.0,0,1.9326384367332043e-236
248,52.46.155.31,172.16.1.10,1.0,2021-02-10 18:12:52,100.0,0,1.9326384367332043e-236
249,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
250,172.16.1.10,172.16.1.250,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
251,172.16.1.10,52.46.144.93,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
252,172.16.1.10,52.46.155.56,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
253,172.16.1.173,172.16.1.10,2.0,2021-02-10 18:12:53,100.0,0,1.1618247333171717e-235
254,35.168.5.6,172.16.1.10,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
255,54.239.26.19,172.16.1.10,1.0,2021-02-10 18:12:53,100.0,0,1.9326384367332043e-236
256,172.16.1.109,52.44.104.29,1.0,2021-02-10 18:12:54,100.0,0,1.9326384367332043e-236
257,172.16.1.162,172.16.1.173,1.0,2021-02-10 18:12:54,100.0,0,1.9326384367332043e-236
258,172.16.1.173,172.16.1.162,2.0,2021-02-10 18:12:54,100.0,0,1.1618247333171717e-235
259,205.185.124.237,172.16.1.109,1.0,2021-02-10 18:12:54,0.0,0,3.0567502356567114e-263
260,52.44.104.29,172.16.1.109,1.0,2021-02-10 18:12:54,100.0,0,1.9326384367332043e-236
