,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
252,172.16.1.52,172.16.1.196,461.0,2021-02-10 19:10:00,100.0,1,0.9999999999407161,19.12863070539419
238,172.16.1.52,172.16.1.196,460.0,2021-02-10 19:04:40,100.0,1,0.9999999999432929,19.08713692946058
339,172.16.1.196,172.16.1.52,460.0,2021-02-10 19:41:33,100.0,1,0.9999999999432929,19.08713692946058
237,172.16.1.196,172.16.1.52,460.0,2021-02-10 19:04:40,100.0,1,0.9999999999432929,19.08713692946058
289,172.16.1.196,172.16.1.52,460.0,2021-02-10 19:23:40,100.0,1,0.9999999999432929,19.08713692946058
290,172.16.1.52,172.16.1.196,460.0,2021-02-10 19:23:40,100.0,1,0.9999999999432929,19.08713692946058
340,172.16.1.52,172.16.1.196,460.0,2021-02-10 19:41:33,100.0,1,0.9999999999432929,19.08713692946058
188,172.16.1.245,10.3.252.33,456.0,2021-02-10 18:45:03,100.0,1,0.9999999999525273,18.92116182572614
187,10.3.252.33,172.16.1.245,455.0,2021-02-10 18:45:03,100.0,1,0.9999999999545908,18.87966804979253
321,172.16.1.196,172.16.1.52,455.0,2021-02-10 19:37:38,100.0,1,0.9999999999545908,18.87966804979253
322,172.16.1.52,172.16.1.196,455.0,2021-02-10 19:37:38,100.0,1,0.9999999999545908,18.87966804979253
267,172.16.1.196,172.16.1.52,452.0,2021-02-10 19:15:20,100.0,1,0.999999999960258,18.755186721991702
268,172.16.1.52,172.16.1.196,452.0,2021-02-10 19:15:20,100.0,1,0.999999999960258,18.755186721991702
348,73.180.143.70,172.16.1.52,452.0,2021-02-10 19:42:40,100.0,1,0.999999999960258,18.755186721991702
347,172.16.1.52,73.180.143.70,452.0,2021-02-10 19:42:40,100.0,1,0.999999999960258,18.755186721991702
241,172.16.1.196,172.16.1.52,450.0,2021-02-10 19:06:21,100.0,1,0.9999999999636375,18.672199170124482
242,172.16.1.52,172.16.1.196,450.0,2021-02-10 19:06:21,100.0,1,0.9999999999636375,18.672199170124482
262,172.16.1.52,172.16.1.196,448.0,2021-02-10 19:13:00,100.0,1,0.9999999999667297,18.589211618257263
261,172.16.1.196,172.16.1.52,448.0,2021-02-10 19:13:00,100.0,1,0.9999999999667297,18.589211618257263
285,172.16.1.196,172.16.1.52,447.0,2021-02-10 19:23:00,100.0,1,0.9999999999681759,18.547717842323653
286,172.16.1.52,172.16.1.196,447.0,2021-02-10 19:23:00,100.0,1,0.9999999999681759,18.547717842323653
201,172.16.1.196,172.16.1.52,444.0,2021-02-10 18:55:20,100.0,1,0.9999999999721476,18.423236514522824
275,172.16.1.196,172.16.1.52,444.0,2021-02-10 19:19:44,100.0,1,0.9999999999721476,18.423236514522824
276,172.16.1.52,172.16.1.196,444.0,2021-02-10 19:19:44,100.0,1,0.9999999999721476,18.423236514522824
202,172.16.1.52,172.16.1.196,444.0,2021-02-10 18:55:20,100.0,1,0.9999999999721476,18.423236514522824
298,172.16.1.52,172.16.1.196,443.0,2021-02-10 19:25:00,100.0,1,0.9999999999733582,18.381742738589214
239,172.16.1.196,172.16.1.52,443.0,2021-02-10 19:05:00,100.0,1,0.9999999999733582,18.381742738589214
240,172.16.1.52,172.16.1.196,443.0,2021-02-10 19:05:00,100.0,1,0.9999999999733582,18.381742738589214
297,172.16.1.196,172.16.1.52,443.0,2021-02-10 19:25:00,100.0,1,0.9999999999733582,18.381742738589214
249,172.16.1.196,172.16.1.52,442.0,2021-02-10 19:09:20,100.0,1,0.9999999999745162,18.3402489626556
250,172.16.1.52,172.16.1.196,442.0,2021-02-10 19:09:20,100.0,1,0.9999999999745162,18.3402489626556
186,50.245.225.205,172.16.1.52,441.0,2021-02-10 18:19:49,100.0,1,0.9999999999756237,18.29875518672199
221,172.16.1.196,172.16.1.52,441.0,2021-02-10 19:02:20,100.0,1,0.9999999999756237,18.29875518672199
222,172.16.1.52,172.16.1.196,441.0,2021-02-10 19:02:20,100.0,1,0.9999999999756237,18.29875518672199
185,172.16.1.52,50.245.225.205,441.0,2021-02-10 18:19:49,100.0,1,0.9999999999756237,18.29875518672199
319,172.16.1.196,172.16.1.52,440.0,2021-02-10 19:37:36,100.0,1,0.9999999999766833,18.25726141078838
320,172.16.1.52,172.16.1.196,440.0,2021-02-10 19:37:36,100.0,1,0.9999999999766833,18.25726141078838
326,172.16.1.52,172.16.1.196,435.0,2021-02-10 19:37:50,100.0,1,0.9999999999813287,18.04979253112033
325,172.16.1.196,172.16.1.52,435.0,2021-02-10 19:37:50,100.0,1,0.9999999999813287,18.04979253112033
194,172.16.1.52,172.16.1.196,435.0,2021-02-10 18:50:33,100.0,1,0.9999999999813287,18.04979253112033
226,172.16.1.52,172.16.1.196,435.0,2021-02-10 19:02:25,100.0,1,0.9999999999813287,18.04979253112033
193,172.16.1.196,172.16.1.52,435.0,2021-02-10 18:50:33,100.0,1,0.9999999999813287,18.04979253112033
225,172.16.1.196,172.16.1.52,435.0,2021-02-10 19:02:25,100.0,1,0.9999999999813287,18.04979253112033
324,172.16.1.52,172.16.1.196,433.0,2021-02-10 19:37:48,100.0,1,0.9999999999829166,17.966804979253112
323,172.16.1.196,172.16.1.52,433.0,2021-02-10 19:37:48,100.0,1,0.9999999999829166,17.966804979253112
204,172.16.1.52,172.16.1.196,431.0,2021-02-10 18:55:40,100.0,1,0.9999999999843692,17.883817427385893
203,172.16.1.196,172.16.1.52,431.0,2021-02-10 18:55:40,100.0,1,0.9999999999843692,17.883817427385893
